Ward name,Old code,New code,percent_with_households_owned,population_density_persons_per_sq_km,general_fertility_rate,employment_rate,crime_rate,average_public_transport_accessibility_score,average_gcse_capped_point_scores
Havering - Hacton,00ARGH,E05000311,86.9,"4,960",54.4,75.7,26.1,2.4,341
Havering - Harold Wood,00ARGJ,E05000312,71.7,"1,730",69.2,72.2,67.8,2.4,292
Havering - Havering Park,00ARGK,E05000313,70.1,"1,327",63.0,69.1,45.7,2.1,291
Havering - Heaton,00ARGL,E05000314,53.3,"3,779",80.4,64.3,68.2,2.1,298
Havering - Hylands,00ARGM,E05000315,84.6,"4,500",51.1,75.6,55.8,2.1,341
Havering - Mawneys,00ARGN,E05000316,77.6,"4,317",61.6,73.2,52.2,2.5,313
Havering - Pettits,00ARGP,E05000317,87.5,"3,238",51.4,74.9,40.8,2.2,322
Havering - Rainham and Wennington,00ARGQ,E05000318,76.8,754,62.0,72.4,74.1,2.0,304
Havering - Romford Town,00ARGR,E05000319,60.6,"5,931",75.1,74.4,167.9,4.2,314
Havering - St. Andrew's,00ARGS,E05000320,74.6,"4,982",50.6,76.1,65.2,3.2,328
Havering - South Hornchurch,00ARGT,E05000321,69.9,"2,199",51.7,70.5,56.7,2.5,305
Havering - Squirrel's Heath,00ARGU,E05000322,74.9,"5,096",65.1,77.3,40.8,2.6,335
Havering - Upminster,00ARGW,E05000323,89.2,571,49.0,76.4,49.7,1.9,352
Hillingdon - Barnhill,00ASGG,E05000324,57.3,"6,595",83.1,65.0,81.6,2.4,317
Hillingdon - Botwell,00ASGH,E05000325,50.8,"3,546",92.3,64.0,96.5,3.1,312
Hillingdon - Brunel,00ASGJ,E05000326,55.3,"4,424",55.2,57.5,96.8,2.4,294
Hillingdon - Cavendish,00ASGK,E05000327,82.2,"6,000",65.2,77.6,33.8,2.1,347
Hillingdon - Charville,00ASGL,E05000328,71.1,"4,350",62.1,71.0,52.6,2.4,334
Hillingdon - Eastcote and East Ruislip,00ASGM,E05000329,83.8,"3,049",65.0,76.8,41.9,1.7,351
Hillingdon - Harefield,00ASGN,E05000330,64.2,500,56.0,75.7,64.3,1.4,307
Hillingdon - Heathrow Villages,00ASGP,E05000331,49.6,547,96.2,71.7,272.2,2.6,320
Hillingdon - Hillingdon East,00ASGQ,E05000332,68.7,"3,722",59.0,72.4,55.8,1.7,327
Hillingdon - Ickenham,00ASGR,E05000333,86.0,"1,726",41.7,76.6,33.2,2.1,367
Hillingdon - Manor,00ASGS,E05000334,80.9,"5,875",65.8,80.5,38.8,2.9,351
Hillingdon - Northwood,00ASGT,E05000335,64.1,"1,453",51.9,73.3,46.3,2.2,339
Hillingdon - Northwood Hills,00ASGU,E05000336,67.0,"3,606",63.0,74.3,53.9,2.0,332
Hillingdon - Pinkwell,00ASGW,E05000337,57.7,"5,704",78.3,66.8,73.6,2.7,326
Hillingdon - South Ruislip,00ASGX,E05000338,69.4,"1,723",70.3,77.5,64.8,2.5,327
Hillingdon - Townfield,00ASGY,E05000339,45.3,"4,171",89.0,63.2,131.2,3.1,309
Hillingdon - Uxbridge North,00ASGZ,E05000340,67.3,"2,772",71.3,74.0,100.6,2.4,345
Hillingdon - Uxbridge South,00ASHA,E05000341,49.5,"4,758",41.5,56.8,103.3,2.5,309
Hillingdon - West Drayton,00ASHB,E05000342,51.3,"4,257",76.9,69.0,81.5,2.4,293
Hillingdon - West Ruislip,00ASHC,E05000343,68.4,"2,546",59.1,78.2,65.4,2.2,340
Hillingdon - Yeading,00ASHD,E05000344,54.8,"6,087",81.2,66.1,76.4,1.9,314
Hillingdon - Yiewsley,00ASHE,E05000345,47.6,"3,363",78.5,68.2,110.1,2.5,290
Hounslow - Bedfont,00ATFY,E05000346,48.2,"2,966",85.5,72.2,65.0,2.1,314
Hounslow - Brentford,00ATFZ,E05000347,38.0,"4,828",54.3,68.0,80.0,3.2,331
Hounslow - Chiswick Homefields,00ATGA,E05000348,53.9,"5,087",51.7,76.1,83.5,3.6,345
Hounslow - Chiswick Riverside,00ATGB,E05000349,55.8,"5,643",67.6,77.4,62.2,2.8,356
Hounslow - Cranford,00ATGC,E05000350,43.8,"4,722",97.2,65.6,74.4,2.4,315
Hounslow - Feltham North,00ATGD,E05000351,59.1,"3,515",76.2,71.6,77.4,2.9,319
Hounslow - Feltham West,00ATGE,E05000352,45.7,"4,969",76.9,71.8,69.8,2.4,309
Hounslow - Hanworth,00ATGF,E05000353,47.5,"3,788",68.6,66.9,72.9,2.6,293
Hounslow - Hanworth Park,00ATGG,E05000354,61.1,"3,347",80.8,72.9,70.5,2.6,317
Hounslow - Heston Central,00ATGH,E05000355,55.0,"7,500",73.2,66.6,53.0,2.9,334
Hounslow - Heston East,00ATGJ,E05000356,56.6,"6,400",74.2,67.5,63.3,2.3,337
Hounslow - Heston West,00ATGK,E05000357,46.4,"3,382",72.6,62.2,100.3,2.3,323
Hounslow - Hounslow Central,00ATGL,E05000358,38.3,"9,441",81.1,71.4,166.8,5.1,345
Hounslow - Hounslow Heath,00ATGM,E05000359,44.7,"5,446",80.5,67.6,64.0,3.2,340
Hounslow - Hounslow South,00ATGN,E05000360,74.0,"6,556",66.0,74.1,41.4,2.5,343
Hounslow - Hounslow West,00ATGP,E05000361,47.0,"8,438",88.2,69.6,92.1,3.9,331
Hounslow - Isleworth,00ATGQ,E05000362,44.3,"6,125",86.7,70.6,69.5,2.4,316
Hounslow - Osterley and Spring Grove,00ATGR,E05000363,61.8,"2,135",68.3,75.3,73.2,2.8,367
Hounslow - Syon,00ATGS,E05000364,43.8,"4,862",70.6,73.0,82.2,3.6,318
Hounslow - Turnham Green,00ATGT,E05000365,49.4,"6,583",61.4,77.0,95.0,4.4,344
Islington - Barnsbury,00AUFX,E05000366,31.7,"15,938",44.3,68.1,131.4,5.7,320
Islington - Bunhill,00AUFY,E05000367,21.1,"14,455",42.0,59.8,179.7,7.1,324
Islington - Caledonian,00AUFZ,E05000368,22.6,"13,227",41.7,61.7,138.8,5.3,312
Islington - Canonbury,00AUGA,E05000369,27.8,"15,438",50.0,69.2,80.2,6.5,310
Islington - Clerkenwell,00AUGB,E05000370,29.0,"13,444",38.3,62.6,154.3,6.9,301
Islington - Finsbury Park,00AUGC,E05000371,22.6,"16,556",51.1,65.4,161.3,6.6,310
Islington - Highbury East,00AUGD,E05000372,41.1,"11,950",63.5,74.5,98.2,4.7,343
Islington - Highbury West,00AUGE,E05000373,29.4,"14,364",48.5,74.5,88.5,5.7,323
Islington - Hillrise,00AUGF,E05000374,32.9,"15,125",53.2,65.7,74.0,4.2,316
Islington - Holloway,00AUGG,E05000375,22.4,"15,750",37.3,63.9,83.3,5.9,312
Islington - Junction,00AUGH,E05000376,28.5,"12,600",37.5,68.4,115.5,6.0,335
Islington - Mildmay,00AUGJ,E05000377,27.4,"16,625",55.1,68.6,92.3,6.1,330
Islington - St. George's,00AUGK,E05000378,33.6,"16,063",47.1,67.8,76.5,4.5,329
Islington - St. Mary's,00AUGL,E05000379,27.0,"13,500",50.4,73.0,192.2,6.7,331
Islington - St. Peter's,00AUGM,E05000380,33.2,"15,688",45.9,70.4,127.1,5.3,302
Islington - Tollington,00AUGN,E05000381,29.0,"17,063",59.2,68.5,86.4,4.5,326
Kensington and Chelsea - Abingdon,00AWFY,E05000382,41.5,"16,917",51.2,66.2,83.2,6.5,357
Kensington and Chelsea - Brompton,00AWFZ,E05000383,34.0,"8,700",39.5,69.2,185.5,6.8,356
Kensington and Chelsea - Campden,00AWGA,E05000384,47.7,"8,944",64.9,71.6,124.7,6.8,291
Kensington and Chelsea - Colville,00AWGB,E05000385,24.9,"20,625",49.3,69.9,172.2,5.4,311
Kensington and Chelsea - Courtfield,00AWGC,E05000386,39.0,"17,700",47.1,64.8,109.0,6.9,344
Kensington and Chelsea - Cremorne,00AWGD,E05000387,32.6,"13,250",43.9,63.0,89.5,4.7,312
Kensington and Chelsea - Earl's Court,00AWGE,E05000388,30.6,"18,100",44.4,68.5,110.4,7.0,359
Kensington and Chelsea - Golborne,00AWGF,E05000389,11.9,"10,111",48.7,59.3,130.9,4.5,314
Kensington and Chelsea - Hans Town,00AWGG,E05000390,34.7,"14,417",38.1,69.1,188.3,6.6,338
Kensington and Chelsea - Holland,00AWGH,E05000391,45.5,"9,600",56.9,66.4,70.8,6.0,365
Kensington and Chelsea - Norland,00AWGJ,E05000392,34.9,"12,214",61.1,67.4,97.2,5.4,323
Kensington and Chelsea - Notting Barns,00AWGK,E05000393,24.2,"15,750",52.4,61.8,99.3,4.2,330
Kensington and Chelsea - Pembridge,00AWGL,E05000394,40.6,"15,100",50.3,74.8,177.9,7.0,386
Kensington and Chelsea - Queen's Gate,00AWGM,E05000395,41.5,"16,167",47.5,66.3,88.0,6.0,377
Kensington and Chelsea - Redcliffe,00AWGN,E05000396,46.2,"13,000",51.3,74.3,80.1,6.2,342
Kensington and Chelsea - Royal Hospital,00AWGP,E05000397,45.3,"7,944",43.4,72.8,117.9,5.0,366
Kensington and Chelsea - St. Charles,00AWGQ,E05000398,20.9,"13,286",49.6,63.4,114.8,3.8,330
Kensington and Chelsea - Stanley,00AWGR,E05000399,45.5,"11,571",42.5,73.0,118.7,5.6,345
Kingston upon Thames - Alexandra,00AXFX,E05000400,80.2,"3,537",61.6,75.1,34.7,2.2,353
Kingston upon Thames - Berrylands,00AXFY,E05000401,54.6,"6,467",56.8,74.8,31.6,2.8,343
Kingston upon Thames - Beverley,00AXFZ,E05000402,63.7,"5,447",75.0,71.6,64.5,2.8,372
Kingston upon Thames - Canbury,00AXGA,E05000403,55.1,"10,792",70.0,74.9,38.4,4.1,368
Kingston upon Thames - Chessington North and Hook,00AXGB,E05000404,74.8,"4,711",55.0,76.4,43.9,2.4,307
Kingston upon Thames - Chessington South,00AXGC,E05000405,77.3,"1,375",64.1,78.5,47.5,2.4,321
Kingston upon Thames - Coombe Hill,00AXGD,E05000406,61.0,"2,421",44.7,64.5,47.8,2.5,340
Kingston upon Thames - Coombe Vale,00AXGE,E05000407,72.3,"6,250",60.5,72.4,26.2,2.3,367
Kingston upon Thames - Grove,00AXGF,E05000408,47.5,"6,105",47.8,66.8,268.5,4.2,325
Kingston upon Thames - Norbiton,00AXGG,E05000409,42.3,"8,077",65.0,68.2,62.4,3.6,308
Kingston upon Thames - Old Malden,00AXGH,E05000410,77.4,"5,361",58.4,74.0,29.6,2.7,347
Kingston upon Thames - St. James,00AXGJ,E05000411,75.3,"4,182",53.5,71.9,33.8,2.6,355
Kingston upon Thames - St. Mark's,00AXGK,E05000412,53.1,"7,786",46.9,69.4,49.7,3.7,336
Kingston upon Thames - Surbiton Hill,00AXGL,E05000413,60.5,"6,353",60.0,78.2,29.6,3.3,362
Kingston upon Thames - Tolworth and Hook Rise,00AXGM,E05000414,71.2,"3,962",59.1,76.2,53.7,2.3,338
Kingston upon Thames - Tudor,00AXGN,E05000415,76.5,"6,125",52.4,76.9,33.1,2.3,379
Lambeth - Bishop's,00AYFZ,E05000416,21.0,"7,067",33.2,66.2,243.6,7.6,325
Lambeth - Brixton Hill,00AYGA,E05000417,32.8,"14,864",48.4,75.3,91.5,4.9,312
Lambeth - Clapham Common,00AYGB,E05000418,42.6,"10,192",48.0,80.3,85.6,4.1,296
Lambeth - Clapham Town,00AYGC,E05000419,33.7,"13,046",32.4,80.0,142.5,5.1,311
Lambeth - Coldharbour,00AYGD,E05000420,16.1,"14,333",54.5,64.9,180.9,5.4,306
Lambeth - Ferndale,00AYGE,E05000421,26.5,"17,556",36.0,77.0,145.6,6.3,313
Lambeth - Gipsy Hill,00AYGF,E05000422,37.2,"8,625",80.3,69.7,79.6,3.7,314
Lambeth - Herne Hill,00AYGG,E05000423,37.2,"7,700",60.5,75.3,92.4,4.5,324
Lambeth - Knight's Hill,00AYGH,E05000424,42.9,"9,967",70.5,68.8,74.6,4.1,322
Lambeth - Larkhall,00AYGJ,E05000425,25.0,"16,182",36.1,73.5,92.8,5.2,309
Lambeth - Oval,00AYGK,E05000426,26.2,"12,269",37.3,74.3,127.4,6.9,322
Lambeth - Prince's,00AYGL,E05000427,27.2,"12,458",47.3,71.1,119.3,6.3,334
Lambeth - St. Leonard's,00AYGM,E05000428,39.7,"10,643",67.4,75.6,104.0,5.9,341
Lambeth - Stockwell,00AYGN,E05000429,24.8,"16,778",46.8,71.2,83.7,5.4,314
Lambeth - Streatham Hill,00AYGP,E05000430,41.1,"11,308",65.4,74.6,76.9,5.3,316
Lambeth - Streatham South,00AYGQ,E05000431,53.0,"8,559",70.0,70.4,74.9,4.1,328
Lambeth - Streatham Wells,00AYGR,E05000432,41.5,"10,067",60.5,74.2,72.7,4.4,311
Lambeth - Thornton,00AYGS,E05000433,38.2,"12,046",65.5,74.3,55.2,3.5,319
Lambeth - Thurlow Park,00AYGT,E05000434,41.9,"9,133",65.1,74.0,73.2,5.0,305
Lambeth - Tulse Hill,00AYGU,E05000435,29.2,"16,000",57.1,70.5,80.3,4.4,292
Lambeth - Vassall,00AYGW,E05000436,23.2,"13,591",47.3,67.6,81.0,4.4,317
Lewisham - Bellingham,00AZGD,E05000437,40.1,"4,855",76.3,64.9,94.0,3.0,295
Lewisham - Blackheath,00AZGE,E05000438,43.2,"6,304",66.3,74.1,83.9,4.9,296
Lewisham - Brockley,00AZGF,E05000439,31.5,"10,559",54.5,71.3,78.8,5.8,312
Lewisham - Catford South,00AZGG,E05000440,65.8,"8,158",72.9,70.2,44.8,3.3,311
Lewisham - Crofton Park,00AZGH,E05000441,55.0,"8,882",82.9,73.9,58.4,4.1,314
Lewisham - Downham,00AZGJ,E05000442,44.2,"6,146",67.4,63.6,78.9,3.3,290
Lewisham - Evelyn,00AZGK,E05000443,16.7,"9,778",64.5,63.7,69.6,3.1,305
Lewisham - Forest Hill,00AZGL,E05000444,47.4,"8,389",77.5,73.6,69.9,4.0,333
Lewisham - Grove Park,00AZGM,E05000445,53.5,"6,208",68.0,69.3,50.6,3.2,308
Lewisham - Ladywell,00AZGN,E05000446,49.3,"9,281",54.5,70.5,55.0,4.5,319
Lewisham - Lee Green,00AZGP,E05000447,53.7,"8,222",74.5,75.1,60.9,3.6,334
Lewisham - Lewisham Central,00AZGQ,E05000448,35.1,"8,976",80.2,69.6,134.9,5.2,303
Lewisham - New Cross,00AZGR,E05000449,25.4,"9,306",55.6,64.6,108.5,4.4,299
Lewisham - Perry Vale,00AZGS,E05000450,48.1,"9,324",74.8,72.9,54.6,3.4,314
Lewisham - Rushey Green,00AZGT,E05000451,41.4,"8,778",74.8,66.2,118.7,5.2,301
Lewisham - Sydenham,00AZGU,E05000452,42.9,"9,353",76.2,69.1,73.2,4.1,308
Lewisham - Telegraph Hill,00AZGW,E05000453,31.7,"11,233",58.9,70.6,51.1,5.2,313
Lewisham - Whitefoot,00AZGX,E05000454,49.2,"6,659",69.0,64.8,70.4,2.8,302
Merton - Abbey,00BAFX,E05000455,48.5,"7,607",69.5,80.3,71.6,5.1,332
Merton - Cannon Hill,00BAFY,E05000456,79.9,"4,341",62.8,75.9,35.4,2.6,364
Merton - Colliers Wood,00BAFZ,E05000457,48.7,"10,182",63.6,76.7,79.1,3.9,335
Merton - Cricket Green,00BAGA,E05000458,41.7,"3,933",82.2,65.7,78.5,2.9,296
Merton - Dundonald,00BAGB,E05000459,61.5,"8,000",73.3,83.2,60.4,4.9,392
Merton - Figge's Marsh,00BAGC,E05000460,46.8,"10,546",97.8,66.3,78.8,3.6,316
Merton - Graveney,00BAGD,E05000461,61.8,"11,222",74.5,71.6,55.6,3.4,333
Merton - Hillside,00BAGE,E05000462,50.1,"7,708",62.1,79.8,56.7,5.4,372
Merton - Lavender Fields,00BAGF,E05000463,47.6,"8,875",83.6,72.6,57.9,2.7,301
Merton - Longthornton,00BAGG,E05000464,69.1,"6,967",69.6,69.9,50.9,2.8,319
Merton - Lower Morden,00BAGH,E05000465,84.4,"5,194",57.2,78.1,33.1,2.2,335
Merton - Merton Park,00BAGJ,E05000466,72.2,"5,444",78.0,75.2,54.8,3.8,381
Merton - Pollards Hill,00BAGK,E05000467,61.3,"4,864",66.1,67.8,60.2,2.6,313
Merton - Ravensbury,00BAGL,E05000468,55.6,"5,694",78.2,69.0,63.7,2.9,313
Merton - Raynes Park,00BAGM,E05000469,61.9,"5,263",73.3,77.6,43.9,3.8,341
Merton - St. Helier,00BAGN,E05000470,53.3,"5,944",74.9,69.4,51.4,3.1,330
Merton - Trinity,00BAGP,E05000471,52.9,"9,136",68.9,80.7,83.9,3.9,343
Merton - Village,00BAGQ,E05000472,68.7,"1,411",57.3,71.3,52.2,2.4,389
Merton - West Barnes,00BAGR,E05000473,76.3,"5,075",76.3,76.5,49.6,2.9,363
Merton - Wimbledon Park,00BAGS,E05000474,60.7,"5,022",76.8,78.4,42.2,3.1,340
Newham - Beckton,00BBGB,E05000475,28.9,"2,540",66.1,60.3,125.2,2.8,306
Newham - Boleyn,00BBGC,E05000476,40.9,"18,056",101.4,58.2,69.8,4.0,325
Newham - Canning Town North,00BBGD,E05000477,23.3,"6,300",71.8,59.5,93.9,4.7,306
Newham - Canning Town South,00BBGE,E05000478,19.8,"10,167",54.3,64.4,64.8,3.6,299
Newham - Custom House,00BBGF,E05000479,30.3,"6,738",69.1,62.8,108.1,3.2,299
Newham - East Ham Central,00BBGG,E05000480,43.0,"16,200",94.6,58.0,111.8,4.7,311
Newham - East Ham North,00BBGH,E05000481,46.4,"15,722",80.9,56.3,54.7,4.4,323
Newham - East Ham South,00BBGJ,E05000482,42.0,"8,861",84.4,59.0,67.1,2.6,312
Newham - Forest Gate North,00BBGK,E05000483,35.5,"13,750",65.1,64.7,64.7,3.2,331
Newham - Forest Gate South,00BBGL,E05000484,29.6,"14,875",77.5,62.1,87.9,3.9,316
Newham - Green Street East,00BBGM,E05000485,42.9,"23,071",98.1,55.4,60.1,3.7,316
Newham - Green Street West,00BBGN,E05000486,43.8,"19,188",96.3,54.3,71.2,4.0,321
Newham - Little Ilford,00BBGP,E05000487,32.9,"8,921",89.9,53.0,75.6,2.7,315
Newham - Manor Park,00BBGQ,E05000488,38.7,"11,923",91.0,55.8,66.8,4.0,329
Newham - Plaistow North,00BBGR,E05000489,28.8,"15,700",83.6,58.4,61.9,4.4,319
Newham - Plaistow South,00BBGS,E05000490,41.9,"11,893",80.7,61.8,92.0,4.4,314
Newham - Royal Docks,00BBGT,E05000491,25.5,"2,844",52.9,71.9,71.5,2.8,306
Newham - Stratford and New Town,00BBGU,E05000492,19.8,"5,333",41.7,68.9,240.9,5.8,309
Newham - Wall End,00BBGW,E05000493,44.3,"10,750",100.0,57.1,46.6,3.7,303
Newham - West Ham,00BBGX,E05000494,28.4,"12,269",69.1,63.1,58.8,4.7,308
Redbridge - Aldborough,00BCFY,E05000495,65.3,"1,797",60.9,67.4,66.3,2.7,340
Redbridge - Barkingside,00BCFZ,E05000496,74.7,"8,767",52.2,67.3,50.5,3.2,357
Redbridge - Bridge,00BCGA,E05000497,69.8,"4,596",69.2,73.2,58.6,2.5,323
Redbridge - Chadwell,00BCGB,E05000498,65.3,"9,900",80.6,68.4,54.5,2.4,329
Redbridge - Church End,00BCGC,E05000499,62.2,"7,967",61.4,79.3,61.0,2.7,344
Redbridge - Clayhall,00BCGD,E05000500,80.8,"5,480",51.6,67.8,54.0,2.3,372
Redbridge - Clementswood,00BCGE,E05000501,45.4,"12,423",91.0,56.5,136.7,3.4,330
Redbridge - Cranbrook,00BCGF,E05000502,68.3,"5,563",77.1,62.8,73.0,3.8,355
Redbridge - Fairlop,00BCGG,E05000503,69.7,"3,611",78.2,70.8,57.7,2.8,324
Redbridge - Fullwell,00BCGH,E05000504,68.8,"6,046",71.7,66.7,55.4,2.4,333
Redbridge - Goodmayes,00BCGJ,E05000505,57.3,"8,438",84.9,61.0,70.3,3.7,319
Redbridge - Hainault,00BCGK,E05000506,57.9,"2,411",64.8,65.1,60.4,2.4,305
Redbridge - Loxford,00BCGL,E05000507,41.1,"13,423",94.6,53.5,86.2,3.4,340
Redbridge - Mayfield,00BCGM,E05000508,71.7,"7,395",88.7,63.5,52.5,2.7,339
Redbridge - Monkhams,00BCGN,E05000509,81.4,"3,452",60.0,76.2,48.1,2.6,370
Redbridge - Newbury,00BCGP,E05000510,60.9,"8,310",67.6,63.2,54.9,3.1,348
Redbridge - Roding,00BCGQ,E05000511,64.1,"5,435",63.5,73.8,50.3,2.5,330
Redbridge - Seven Kings,00BCGR,E05000512,57.1,"7,810",84.7,60.1,87.3,3.1,332
Redbridge - Snaresbrook,00BCGS,E05000513,62.1,"6,100",62.6,78.1,51.8,3.6,371
Redbridge - Valentines,00BCGT,E05000514,46.9,"9,900",98.2,60.6,104.5,4.5,341
Redbridge - Wanstead,00BCGU,E05000515,71.5,"2,279",71.6,74.5,71.8,2.5,344
Richmond upon Thames - Barnes,00BDFW,E05000516,57.5,"3,500",55.2,72.3,55.7,3.4,328
Richmond upon Thames - East Sheen,00BDFX,E05000517,70.2,"1,810",82.4,78.2,48.7,2.6,396
Richmond upon Thames - Fulwell and Hampton Hill,00BDFY,E05000518,71.6,"5,421",77.1,79.6,44.7,3.2,374
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",00BDFZ,E05000519,59.7,"1,122",62.6,73.4,56.0,2.1,338
Richmond upon Thames - Hampton,00BDGA,E05000520,68.2,"1,478",69.2,77.2,49.7,2.7,343
Richmond upon Thames - Hampton North,00BDGB,E05000521,62.1,"5,053",65.6,73.5,47.9,2.1,310
Richmond upon Thames - Hampton Wick,00BDGC,E05000522,62.3,"3,889",53.0,73.1,46.2,2.7,374
Richmond upon Thames - Heathfield,00BDGD,E05000523,65.3,"5,553",76.7,70.8,55.3,2.0,324
Richmond upon Thames - Kew,00BDGE,E05000524,60.2,"3,236",64.6,77.1,56.7,2.9,363
Richmond upon Thames - Mortlake and Barnes Common,00BDGF,E05000525,58.1,"5,816",91.8,77.9,64.1,3.0,342
Richmond upon Thames - North Richmond,00BDGG,E05000526,56.6,"3,911",70.4,78.4,58.6,4.4,360
Richmond upon Thames - St. Margarets & North Twickenham,00BDGH,E05000527,68.3,"5,775",88.3,80.8,58.3,3.1,369
Richmond upon Thames - South Richmond,00BDGJ,E05000528,51.5,"4,093",68.6,76.0,110.7,4.2,361
Richmond upon Thames - South Twickenham,00BDGK,E05000529,70.5,"5,971",67.2,76.8,35.3,3.5,376
Richmond upon Thames - Teddington,00BDGL,E05000530,66.3,"2,454",59.6,79.9,46.4,3.2,378
Richmond upon Thames - Twickenham Riverside,00BDGM,E05000531,57.5,"5,325",66.1,80.7,66.7,4.5,366
Richmond upon Thames - West Twickenham,00BDGN,E05000532,71.7,"4,280",77.3,79.5,55.2,2.7,334
Richmond upon Thames - Whitton,00BDGP,E05000533,73.7,"6,250",62.0,76.5,49.6,2.4,341
Southwark - Brunswick Park,00BEGC,E05000534,30.1,"14,833",72.9,66.8,104.8,4.1,316
Southwark - Camberwell Green,00BEGD,E05000535,15.4,"15,450",65.3,64.6,111.2,5.6,304
Southwark - Cathedrals,00BEGE,E05000536,24.0,"9,028",34.6,62.9,184.9,8.0,313
Southwark - Chaucer,00BEGF,E05000537,21.4,"19,750",34.9,66.4,114.4,7.2,318
Southwark - College,00BEGG,E05000538,49.5,"3,688",77.4,71.1,73.3,3.4,324
Southwark - East Dulwich,00BEGH,E05000539,52.3,"12,250",87.9,79.2,60.3,4.1,334
Southwark - East Walworth,00BEGJ,E05000540,15.7,"11,546",53.0,62.5,159.3,5.8,320
Southwark - Faraday,00BEGK,E05000541,13.6,"14,333",87.5,62.3,97.4,4.7,320
Southwark - Grange,00BEGL,E05000542,21.9,"13,750",35.0,69.1,106.2,5.1,322
Southwark - Livesey,00BEGM,E05000543,15.7,"10,357",67.2,60.3,98.2,4.3,314
Southwark - Newington,00BEGN,E05000544,21.9,"18,563",50.0,66.3,110.4,5.8,320
Southwark - Nunhead,00BEGP,E05000545,30.8,"10,539",87.5,65.0,68.7,4.8,325
Southwark - Peckham,00BEGQ,E05000546,18.8,"16,667",75.8,61.2,95.7,4.1,321
Southwark - Peckham Rye,00BEGR,E05000547,46.7,"5,848",79.2,74.9,56.5,3.5,330
Southwark - Riverside,00BEGS,E05000548,28.7,"11,923",43.5,74.9,101.9,4.4,298
Southwark - Rotherhithe,00BEGT,E05000549,24.3,"9,600",57.7,69.3,97.5,5.3,312
Southwark - South Bermondsey,00BEGU,E05000550,21.2,"14,050",58.7,64.8,103.3,3.7,310
Southwark - South Camberwell,00BEGW,E05000551,39.7,"9,885",65.7,70.7,52.2,4.6,325
Southwark - Surrey Docks,00BEGX,E05000552,38.4,"7,605",42.9,77.7,53.7,2.9,319
Southwark - The Lane,00BEGY,E05000553,32.5,"11,357",75.4,68.9,138.1,6.0,309
Southwark - Village,00BEGZ,E05000554,64.9,"4,446",57.4,77.2,57.5,4.1,357
Sutton - Beddington North,00BFGC,E05000555,79.9,"2,110",60.0,77.2,59.6,2.6,341
Sutton - Beddington South,00BFGD,E05000556,54.7,"3,548",46.7,69.1,52.9,2.0,320
Sutton - Belmont,00BFGE,E05000557,69.9,"4,500",55.2,76.2,35.6,2.3,369
Sutton - Carshalton Central,00BFGF,E05000558,75.5,"5,200",67.6,78.6,44.4,3.3,360
Sutton - Carshalton South and Clockhouse,00BFGG,E05000559,81.2,"1,423",52.6,76.5,34.1,2.1,360
Sutton - Cheam,00BFGH,E05000560,83.4,"2,705",46.1,76.4,33.9,2.2,364
Sutton - Nonsuch,00BFGJ,E05000561,85.5,"5,737",55.9,79.1,44.4,2.3,357
Sutton - St. Helier,00BFGK,E05000562,45.6,"8,200",66.1,69.6,71.9,2.9,311
Sutton - Stonecot,00BFGL,E05000563,85.5,"5,500",46.2,77.9,48.5,2.5,351
Sutton - Sutton Central,00BFGM,E05000564,51.0,"8,769",79.3,75.6,158.4,4.9,314
Sutton - Sutton North,00BFGN,E05000565,74.2,"5,605",73.7,75.6,46.1,3.3,344
Sutton - Sutton South,00BFGP,E05000566,54.4,"7,654",80.9,78.1,42.5,3.3,338
Sutton - Sutton West,00BFGQ,E05000567,68.3,"6,056",69.4,79.3,33.8,3.5,352
Sutton - The Wrythe,00BFGR,E05000568,71.5,"7,000",68.9,77.5,61.4,2.6,332
Sutton - Wallington North,00BFGS,E05000569,67.9,"6,844",73.2,76.8,50.6,3.5,349
Sutton - Wallington South,00BFGT,E05000570,63.7,"6,235",61.4,74.2,50.5,3.4,377
Sutton - Wandle Valley,00BFGU,E05000571,50.1,"5,762",71.0,72.0,65.6,2.4,306
Sutton - Worcester Park,00BFGW,E05000572,76.6,"5,975",75.7,78.9,44.6,2.4,336
Tower Hamlets - Bethnal Green North,00BGFW,E05000573,21.6,"17,813",49.6,64.6,119.0,6.0,323
Tower Hamlets - Bethnal Green South,00BGFX,E05000574,21.2,"16,333",56.7,55.9,121.3,6.8,309
Tower Hamlets - Blackwall and Cubitt Town,00BGFY,E05000575,26.0,"7,117",56.8,70.8,60.3,3.8,305
Tower Hamlets - Bow East,00BGFZ,E05000576,22.6,"8,026",51.2,68.9,98.9,3.6,295
Tower Hamlets - Bow West,00BGGA,E05000577,31.5,"10,231",54.1,66.3,98.5,5.2,323
Tower Hamlets - Bromley-by-Bow,00BGGB,E05000578,15.6,"15,500",74.3,55.1,79.3,4.2,310
Tower Hamlets - East India and Lansbury,00BGGC,E05000579,18.2,"13,000",79.5,52.9,108.4,3.5,290
Tower Hamlets - Limehouse,00BGGD,E05000580,26.0,"15,000",77.2,64.0,88.8,5.0,309
Tower Hamlets - Mile End and Globe Town,00BGGE,E05000581,25.0,"17,556",47.0,55.4,86.6,5.4,334
Tower Hamlets - Mile End East,00BGGF,E05000582,18.5,"12,955",62.6,56.1,87.3,5.3,320
