Ward name,Old code,New code,percent_with_households_owned,population_density_persons_per_sq_km,general_fertility_rate,employment_rate,crime_rate,average_public_transport_accessibility_score,average_gcse_capped_point_scores
Bromley - Farnborough and Crofton,00AFGR,E05000118,83.2,"2,121",51.0,75.1,43.0,2.5,355
Bromley - Hayes and Coney Hall,00AFGS,E05000119,88.2,"1,500",49.6,76.3,35.0,2.3,349
Bromley - Kelsey and Eden Park,00AFGT,E05000120,79.2,"3,106",54.1,75.5,59.9,2.7,355
Bromley - Mottingham and Chislehurst North,00AFGU,E05000121,55.4,"4,250",72.4,67.9,93.0,2.5,296
Bromley - Orpington,00AFGW,E05000122,74.5,"3,616",63.9,72.8,89.6,2.9,329
Bromley - Penge and Cator,00AFGX,E05000123,47.9,"5,883",72.5,70.4,89.9,4.2,323
Bromley - Petts Wood and Knoll,00AFGY,E05000124,89.4,"3,221",64.9,75.4,43.0,2.8,357
Bromley - Plaistow and Sundridge,00AFGZ,E05000125,65.2,"3,850",72.6,73.5,48.6,2.9,327
Bromley - Shortlands,00AFHA,E05000126,79.2,"4,020",57.1,76.3,33.8,2.7,381
Bromley - West Wickham,00AFHB,E05000127,86.7,"3,443",41.6,76.8,33.9,2.2,370
Camden - Belsize,00AGGD,E05000128,41.4,"15,938",65.4,74.4,60.9,4.2,328
Camden - Bloomsbury,00AGGE,E05000129,26.4,"11,650",16.5,51.4,314.1,8.0,343
Camden - Camden Town with Primrose Hill,00AGGF,E05000130,33.9,"10,792",47.4,69.4,297.0,5.4,338
Camden - Cantelowes,00AGGG,E05000131,30.1,"15,375",40.0,64.3,82.5,4.9,317
Camden - Fortune Green,00AGGH,E05000132,39.5,"12,000",53.9,74.6,54.2,4.8,326
Camden - Frognal and Fitzjohns,00AGGJ,E05000133,49.2,"8,133",58.7,69.8,56.7,4.8,357
Camden - Gospel Oak,00AGGK,E05000134,30.5,"16,357",55.3,65.5,65.8,4.1,323
Camden - Hampstead Town,00AGGL,E05000135,50.6,"4,540",53.7,76.6,82.9,4.0,384
Camden - Haverstock,00AGGM,E05000136,26.7,"18,000",51.4,62.9,87.6,4.7,297
Camden - Highgate,00AGGN,E05000137,46.7,"3,484",55.8,70.4,81.0,3.9,316
Camden - Holborn and Covent Garden,00AGGP,E05000138,22.4,"11,250",31.5,61.9,311.0,7.9,339
Camden - Kentish Town,00AGGQ,E05000139,34.7,"13,750",36.8,71.3,89.0,5.7,305
Camden - Kilburn,00AGGR,E05000140,22.6,"17,500",61.5,66.8,110.7,5.5,314
Camden - King's Cross,00AGGS,E05000141,17.6,"20,833",24.0,46.1,122.4,7.8,322
Camden - Regent's Park,00AGGT,E05000142,20.4,"10,962",43.1,54.4,131.3,6.8,320
Camden - St. Pancras and Somers Town,00AGGU,E05000143,14.3,"10,786",42.0,53.0,93.5,7.1,314
Camden - Swiss Cottage,00AGGW,E05000144,40.8,"10,077",62.2,72.3,70.0,6.2,305
Camden - West Hampstead,00AGGX,E05000145,32.4,"13,722",42.0,76.2,77.6,6.0,328
Croydon - Addiscombe,00AHGE,E05000146,51.7,"10,844",71.9,74.1,61.0,4.6,318
Croydon - Ashburton,00AHGF,E05000147,67.1,"5,556",56.9,71.7,58.1,2.9,320
Croydon - Bensham Manor,00AHGG,E05000148,57.3,"11,750",106.9,67.5,64.4,3.3,312
Croydon - Broad Green,00AHGH,E05000149,41.2,"7,185",81.7,64.6,151.3,4.7,309
Croydon - Coulsdon East,00AHGJ,E05000150,80.4,"1,630",61.4,73.9,34.9,1.9,335
Croydon - Coulsdon West,00AHGK,E05000151,83.5,"2,770",49.2,75.5,46.7,2.5,352
Croydon - Croham,00AHGL,E05000152,60.1,"4,614",66.7,76.5,57.3,3.3,341
Croydon - Fairfield,00AHGM,E05000153,39.8,"5,066",66.5,73.1,215.9,5.7,317
Croydon - Fieldway,00AHGN,E05000154,33.5,"7,800",61.5,58.5,61.8,2.9,276
Croydon - Heathfield,00AHGP,E05000155,75.6,"1,552",67.2,74.3,70.7,2.3,309
Croydon - Kenley,00AHGQ,E05000156,74.1,"2,369",65.0,75.0,35.9,1.9,330
Croydon - New Addington,00AHGR,E05000157,48.4,"4,604",70.8,64.4,70.0,2.7,290
